aa|probo
gj|carousell
gk|aptekaru
gl|globaltel
gm|mocospace
gn|a9a
go|google,youtube,gmail
gp|ticketmaster
gq|freelancer
gr|astropay
gs|samsungshop
gt|gett
gu|fora
gv|humta
gw|callapp
gx|hepsiburadacom
gy|miyachat
gz|lyka
ha|my11circle
hb|twitch
hc|momo
hd|marketpapa
he|mewt
hf|cleartrip
hg|switips
hh|uplay
hi|jungleerummy
hj|столото
hk|4fun
hl|band
hm|globus
hn|1688
ho|cathay
hp|meesho
hq|magicbricks
hr|jkf
hs|asda
ht|bitso
hu|ukrnet
hw|alipay/alibaba/1688
hx|aliexpress
hy|ininal
hz|drom
ia|socios
ib|immowelt
ic|jogo
ie|bet365
ig|instagram
ih|teenpattistarpro
ii|cashkaro
ij|revolut
ik|gurubets
il|iqos
im|imo
io|здравсити
ip|burger king
iq|icq
ir|chispa
it|cashapp
iu|bykea
iv|inboxlv
iw|mylavash
ix|celcoin
iy|foodhub
iz|global24
ja|weverse
jb|wing money
jc|ivi
jd|girabank
je|nanovest
jf|likee
jg|grab
jh|pingpong
ji|monobank
jj|aitu
jl|hopi
jm|mzadqatar
jn|cloudbet
jo|sticpay
jp|rbt
jq|paysafecard
jr|самокат
js|голос
jt|turkiyepetrolleri
ju|indomaret
jv|consultant
jw|br777
jx|swiggy
jy|sorare
jz|kaya
ka|shopee
kb|kufarby
kc|vinted
kd|author24
ke|эльдорадо
kf|weibo
kg|freechargeapp
kh|bukalapak
ki|99app
kj|yappy
kk|idealista
kl|kolesa.kz
km|rozetka
kn|verse
ko|adakami
kp|hq trivia
kq|fotocasa
kr|eyecon
ks|hirect
kt|kakaotalk
ku|royalwin
kv|rush
kw|foody
kx|vivo
ky|spatenoktoberfest
kz|nimotv
la|ssoidnet
lb|mailru group
lc|subito
ld|cashmine
le|e bike gewinnspiel
lf|tiktok/douyin
lg|medibuddy
lh|24betting
li|baidu
lj|santander
lk|pureplatfrom
ll|888casino
lm|farpost
ln|grofers
lo|oppo
lp|algida
lq|potato
lr|okta
ls|careem
lt|bitclout
lu|crickpe
lv|megogo
lw|mrgreen
lx|dewupoison
ly|olacabs
lz|things
ma|mail.ru
mb|yahoo
mc|michat
me|line messenger
mf|weidian
mg|магнит
mh|ашан
mi|zupee
mj|zalo
mk|longhu
ml|apostaganha
mm|microsoft
mn|rrsa
mo|bumble
mp|winmasters
mq|gmng
mr|fastmail
ms|novaposhta
mt|steam
mu|mymusictaste
mv|fruitz
mw|transfergo
mx|soulapp
my|caixa
mz|zolushka
nb|верный
nc|payoneer
ne|coindcx
nf|netflix
ng|funpay
nh|allobank
ni|gojek
nj|freshkarta
nk|gittigidiyor
nl|myntra
nm|thisshop
nn|giftcloud
no|virgo
np|siply
nq|trip
nr|tosla
ns|oldubil
nt|sravni
nu|stripe
nv|naver
nw|ximalaya
ny|pyro music
nz|foodpanda
ob|onlinerby
oc|dealshare
od|fwdmax
oe|codashop
of|urent/jet/rusharing
og|okko
oh|maplesea 
oi|tinder
oj|loveru
ok|одноклассники
ol|kazanexpress
om|corona
oo|ligapro
op|miratorg
oq|vlife
os|dhani
ot|любой другой
ou|gabi
ov|beget
ow|regru
ox|damejidlo
oy|cashfly
oz|poshmark
pa|gamekit
pb|skytv
pc|casino/bet/gambling
pd|ifood
pf|pof.com
pg|nrj music awards
ph|snappfood
pj|podeli
pl|перекресток
pm|aol
pn|coffeelike
po|premium.one
pp|huya
pq|cdkeys
pr|trendyol
ps|zdorov
pt|bitaqaty
pu|justdating
pv|koshelek
pw|sellmonitor
px|nifty
py|monese
pz|lidl
qa|myfishka
qb|payberry
qc|праймериз 2020
qd|taobao
qe|gg
qf|redbook
qg|moneypay
qh|oriflame
qi|32red
qj|whoosh
qk|bit
ql|cmtcuzdan
qm|rosakhutor
qn|blued 
qo|moneylion
qp|максавит
qq|tencent qq
qr|mega
qs|мирзнакомств
qt|moneyсontrol
qu|agroinform
qv|badoo
qx|worldremit
qy|zhihu
qz|faceit
ra|keypay
rb|tick
rc|skype
rd|lenta
re|coinbase
rf|akudo
rg|porbet
rh|ace2three
ri|billmill
rj|детский мир
rk|fotka
rl|indriver
rm|faberlic
rn|neftm
ro|pingcode
rp|hamrahaval
rq|aptekiplus
rr|wolt
rs|lotus
rt|hily
ru|hop
rv|kotak811
rw|bls-spain
rx|sheerid
ry|mcdonalds
rz|easypay
sa|agibank
sb|lamoda
sc|voggt
sd|dodopizza
se|feeld
sf|sneakersnstuff
sg|ozon
sh|вкусвилл
si|cita previa
sj|handypick
sk|skroutz
sl|сбераптека
sm|yowin
sn|olx
so|rummywealth
sp|happyfresh
sq|kucoinplay
sr|starbucks
ss|hezzl
st|ашан
su|loco
sv|dostavista
sw|ncsoft
sx|crowdtap
sy|brahma
sz|pivko24
ta|wink
tc|rambler
td|chaingefinance
te|efood
tf|noon
tg|telegram
th|weststein
ti|cryptocom
tj|dbrua
tk|мвидео
tl|truecaller
tm|akulaku
tn|linkedin
tp|indiagold
tq|swvl
tr|paysend
ts|paypal
tt|ziglu
tu|lyft
tv|flink
tw|twitter
tx|bolt
ty|окей
tz|лейка
ua|blablacar
ub|uber
uc|tatneft
ud|disney hotstar
ue|onet
uf|eneba
ug|fiqsy
uh|yubo
ui|rutube
uj|сhampionсasino
uk|airbnb
ul|getir
um|belwest
un|humblebundle
uo|cafebazaar
up|magnolia
uq|topdetal
ur|mydailycash
us|irctc
ut|энергобум
uu|wildberries
uv|binbin
uw|kirana
ux|домовой
uy|meliuz
uz|offgamers
va|sportgully
vb|кораблик
vc|banqi
vd|betfair
ve|dream11
vf|q12 trivia
vg|shellbox
vh|штолле
vi|viber
vj|stormgain
vk|вконтакте
vl|ортека
vm|okcupid
vn|yaay
vo|brand20ua
vp|kwai
vq|ladymaria
vr|test
vs|winzogame
vt|budget4me
vv|seosprint
vw|coinfield
vx|heybox
vy|meta
vz|hinge
wa|whatsapp
wb|wechat
wc|craigslist
wd|casinoplus
we|другвокруг
wf|yandexgo
wg|skout
wh|tantan
wj|1хbet
wk|mobile01
wl|yougotagift
wm|smo71
wn|gamearena
wo|parkplus
wp|163сom
wq|leboncoin1
wr|walmart
ws|indodax
wt|izi
wu|privetmir
wv|ais
ww|bip
wx|apple
wy|yami
wz|foxford
xa|улыбкарадуги
xb|rummyola
xc|synottip
xd|tokopedia
xe|galaxychat
xf|lightchat
xg|fortunask
xh|ovo
xi|infund
xj|сбермаркет
xk|didi
xl|wmaraci
xm|лэтуаль
xn|familia
xo|notifire
xp|monetaru
xq|mpl
xr|tango
xs|groupme
xt|flipkart
xu|recargapay
xv|wish
xw|taki
xx|joyride
xy|depop
xz|paycell
ya|яндекс
yb|квартплата+
yd|米画师mihuashi
ye|zaleycash
yf|citymobil
yg|coursehero
yh|hh
yi|yemeksepeti
yj|ewallet
yk|спортмастер
yl|yalla
ym|юла
yn|allegro
yo|amasia
yp|payzapp
yq|фокстрот
yr|miravia
ys|zcity
yu|xiaomi
yv|iplwin
yw|grindr
yx|jtexpress
yy|venmo
yz|около
za|jdcom
zb|freenow
zd|zilch
zf|ontaxi
zg|setel
zh|zoho
zi|lovelocal
zj|robinhood
zk|deliveroo
zl|airtel
zm|offerup
zn|biedronka
zo|kaggle
zq|indiaplays
zr|papara
zs|bilibili
zt|budweiser
zu|bigc
zv|digikala
zw|quack
zx|communitygaming
zy|nttgame
zz|dent
